"dataset_id","lon","lat","years","title"
"00a7f490-7418-413b-a9f1-666f186769b6",103.5,1.5,5,"Museum and Art Gallery of the Northern Territory Malacology Collection - marine records"
"00a7f490-7418-413b-a9f1-666f186769b6",118.5,-20.5,4,"Museum and Art Gallery of the Northern Territory Malacology Collection - marine records"
"00a7f490-7418-413b-a9f1-666f186769b6",125.5,-8.5,5,"Museum and Art Gallery of the Northern Territory Malacology Collection - marine records"
"00a7f490-7418-413b-a9f1-666f186769b6",130.5,-12.5,6,"Museum and Art Gallery of the Northern Territory Malacology Collection - marine records"
"00a7f490-7418-413b-a9f1-666f186769b6",131.5,-12.5,4,"Museum and Art Gallery of the Northern Territory Malacology Collection - marine records"
"00a7f490-7418-413b-a9f1-666f186769b6",144.5,-38.5,4,"Museum and Art Gallery of the Northern Territory Malacology Collection - marine records"
"00a7f490-7418-413b-a9f1-666f186769b6",145.5,-16.5,5,"Museum and Art Gallery of the Northern Territory Malacology Collection - marine records"
"00a7f490-7418-413b-a9f1-666f186769b6",150.5,-2.5,3,"Museum and Art Gallery of the Northern Territory Malacology Collection - marine records"
"00a7f490-7418-413b-a9f1-666f186769b6",153.5,-27.5,4,"Museum and Art Gallery of the Northern Territory Malacology Collection - marine records"
"00a7f490-7418-413b-a9f1-666f186769b6",174.5,-36.5,4,"Museum and Art Gallery of the Northern Territory Malacology Collection - marine records"
"00a7f490-7418-413b-a9f1-666f186769b6",175.5,-36.5,3,"Museum and Art Gallery of the Northern Territory Malacology Collection - marine records"
"0264be1a-9d3f-495d-afcb-ac22718a70ce",141.5,-38.5,6,"Victorian Biodiversity Atlas, Victoria, Australia (1900-2017) - marine records"
"0264be1a-9d3f-495d-afcb-ac22718a70ce",142.5,-38.5,6,"Victorian Biodiversity Atlas, Victoria, Australia (1900-2017) - marine records"
"0264be1a-9d3f-495d-afcb-ac22718a70ce",143.5,-38.5,6,"Victorian Biodiversity Atlas, Victoria, Australia (1900-2017) - marine records"
"0264be1a-9d3f-495d-afcb-ac22718a70ce",144.5,-38.5,6,"Victorian Biodiversity Atlas, Victoria, Australia (1900-2017) - marine records"
"0264be1a-9d3f-495d-afcb-ac22718a70ce",144.5,-37.5,4,"Victorian Biodiversity Atlas, Victoria, Australia (1900-2017) - marine records"
"0264be1a-9d3f-495d-afcb-ac22718a70ce",145.5,-38.5,7,"Victorian Biodiversity Atlas, Victoria, Australia (1900-2017) - marine records"
"0264be1a-9d3f-495d-afcb-ac22718a70ce",146.5,-39.5,7,"Victorian Biodiversity Atlas, Victoria, Australia (1900-2017) - marine records"
"0264be1a-9d3f-495d-afcb-ac22718a70ce",146.5,-38.5,6,"Victorian Biodiversity Atlas, Victoria, Australia (1900-2017) - marine records"
"0264be1a-9d3f-495d-afcb-ac22718a70ce",148.5,-37.5,5,"Victorian Biodiversity Atlas, Victoria, Australia (1900-2017) - marine records"
"0264be1a-9d3f-495d-afcb-ac22718a70ce",149.5,-37.5,7,"Victorian Biodiversity Atlas, Victoria, Australia (1900-2017) - marine records"
"0569339f-a376-42f4-8453-49ab9932713d",-75.5,11.5,4,"Colección de Anelidos del Museo de Historia Natural Marina de Colombia - Makuriwa"
"06e66a5b-c834-4a77-9118-c6dfd12b5351",10.5,63.5,3,"OTN NTNU River Nidelva Project - Tag Release Metadata"
"07574d33-c6d7-4c80-9132-da186f68df87",149.5,-37.5,9,"Atlas of Life in the Coastal Wilderness - Sightings"
"07574d33-c6d7-4c80-9132-da186f68df87",149.5,-36.5,9,"Atlas of Life in the Coastal Wilderness - Sightings"
"07574d33-c6d7-4c80-9132-da186f68df87",150.5,-37.5,7,"Atlas of Life in the Coastal Wilderness - Sightings"
"07574d33-c6d7-4c80-9132-da186f68df87",150.5,-36.5,9,"Atlas of Life in the Coastal Wilderness - Sightings"
"07574d33-c6d7-4c80-9132-da186f68df87",150.5,-35.5,7,"Atlas of Life in the Coastal Wilderness - Sightings"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",112.5,-25.5,3,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",113.5,-23.5,7,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",113.5,-22.5,7,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",113.5,-21.5,7,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",115.5,-32.5,6,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",118.5,-17.5,5,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",119.5,-17.5,6,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",121.5,-14.5,6,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
